reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
27,50,21,0,0,0,l,1.5604936,None,0,0,0,2,0.2259128,,0.2052334,0.2259128,1.0089693,1.0089693,1.2254736,2.5804364,l,1.5604936,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
49,60,89,1,1,0,l,0.9423886,None,0,1,1,4,2.5914289,,2.5843313,2.5914289,3.5910507,3.5910507,3.5910507,4.5409594,l,0.9423886,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
11,30,7,2,2,0,l,1.0571354,None,0,2,2,0,4.5574116,,4.5437611,4.5574116,5.5403447,5.5403447,5.5570627,6.6067257,l,1.0571354,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
40,55,62,3,3,0,t,1.7074016,None,0,3,3,3,6.6232273,,6.60869,6.6232273,7.6060797,7.6060797,7.622726,9.3222762,t,1.7074016,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
78,80,162,4,4,0,t,0.9558802,None,0,4,4,6,9.3386672,,9.3243664,9.3386672,10.3216052,10.3216052,10.3382457,11.2881086,t,0.9558802,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
67,75,119,5,5,0,l,3.0181341,None,0,5,5,5,11.3044826,,11.2902241,11.3044826,12.2873496,12.2873496,12.3040406,15.3197,l,3.0181341,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
15,35,13,6,6,0,l,0.8184677,None,0,6,6,1,15.3360435,,15.3225892,15.3360435,16.3189744,16.3189744,16.335643,17.1522626,l,0.8184677,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
78,80,162,7,0,1,l,0.989543,None,1,0,7,6,17.1686268,,17.1542046,17.1686268,18.1518953,18.1518953,18.1681568,19.1515225,l,0.989543,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
40,55,62,8,1,1,t,1.1842437,None,1,1,8,3,19.167673,,19.1540006,19.167673,20.1506248,20.1506248,20.1672596,21.3503755,t,1.1842437,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
15,35,13,9,2,1,l,0.9798896,None,1,2,9,1,21.3667196,,21.352745,21.3667196,22.3496001,22.3496001,22.3662799,23.3326648,l,0.9798896,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
49,60,89,10,3,1,l,0.9053602,None,1,3,10,4,23.3491705,,23.3347186,23.3491705,24.3321471,24.3321471,24.3488203,25.2485535,l,0.9053602,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
11,30,7,11,4,1,l,0.9820073,None,1,4,11,0,25.2650789,,25.2508441,25.2650789,26.2479723,26.2479723,26.2646185,27.2312445,l,0.9820073,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
67,75,119,12,5,1,t,0.9310694,None,1,5,12,5,27.2475967,,27.2333461,27.2475967,28.2303827,28.2303827,28.2469829,29.1636331,t,0.9310694,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
27,50,21,13,6,1,l,0.9225414,None,1,6,13,2,29.1800385,,29.1661121,29.1800385,30.1629295,30.1629295,30.1795836,31.0960954,l,0.9225414,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
11,30,7,14,0,2,l,3.6540399,None,2,0,14,0,31.1123917,,31.0981829,31.1123917,32.0954145,32.0954145,32.1120998,35.7606986,l,3.6540399,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
15,35,13,15,1,2,l,1.5414471,None,2,1,15,1,35.7770778,,35.7625846,35.7770778,36.7600247,36.7600247,36.7766622,38.3094535,l,1.5414471,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
78,80,162,16,2,2,t,0.8285918,None,2,2,16,6,38.3259886,,38.3115669,38.3259886,39.3088309,39.3088309,39.3255352,40.1420646,t,0.8285918,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
67,75,119,17,3,2,t,0.7040316,None,2,3,17,5,40.1585569,,40.1439406,40.1585569,41.1414073,41.1414073,41.1581158,41.8579176,t,0.7040316,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
27,50,21,18,4,2,t,1.0762927,None,2,4,18,2,41.8744514,,41.8600293,41.8744514,42.857272,42.857272,42.8739068,43.9403614,t,1.0762927,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
40,55,62,19,5,2,l,0.6937777,None,2,5,19,3,43.9567842,,43.9422225,43.9567842,44.9396818,44.9396818,44.9564376,45.6396263,l,0.6937777,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
49,60,89,20,6,2,l,0.5506293,None,2,6,20,4,45.6560827,,45.6424453,45.6560827,46.6390173,46.6390173,46.6555974,47.2055886,l,0.5506293,None,P06,1,2025-11-05_14h06.14.346,delay discounting task,,2025.1.1,60.20455097,2025-11-05 14h06.26.996408 +0530
