reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
78,80,162,0,0,0,t,5.2813791,None,0,0,0,6,0.2047434,,0.1952263,0.2047434,1.004471,1.004471,1.2042848,6.307089,t,5.2813791,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
27,50,21,1,1,0,l,0.6391076,None,0,1,1,2,6.3187613,,6.3100952,6.3187613,7.3182868,7.3182868,7.3182868,7.9683315,l,0.6391076,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
40,55,62,2,2,0,l,0.5660017,None,0,2,2,3,7.9847629,,7.9711233,7.9847629,8.9676615,8.9676615,8.984319,9.5342726,l,0.5660017,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
67,75,119,3,3,0,t,0.4717716,None,0,3,3,5,9.550621,,9.5370268,9.550621,10.5335996,10.5335996,10.5502425,11.016846,t,0.4717716,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
11,30,7,4,4,0,l,0.072984,None,0,4,4,0,11.0334401,,11.0197502,11.0334401,12.0163581,12.0163581,12.0329012,12.0997901,l,0.072984,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
49,60,89,5,5,0,t,0.0781715,None,0,5,5,4,12.1162716,,12.1017119,12.1162716,13.0991182,13.0991182,13.1158111,13.1826023,t,0.0781715,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
15,35,13,6,6,0,l,0.22731,None,0,6,6,1,13.1991422,,13.1861926,13.1991422,14.1820438,14.1820438,14.1986805,14.4154766,l,0.22731,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
27,50,21,7,0,1,t,0.1626806,None,1,0,7,2,14.4318692,,14.4173487,14.4318692,15.4147645,15.4147645,15.4315043,15.5815561,t,0.1626806,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
67,75,119,8,1,1,l,0.1005005,None,1,1,8,5,15.5980498,,15.583453,15.5980498,16.5809461,16.5809461,16.5975338,16.6977797,l,0.1005005,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
40,55,62,9,2,1,l,0.4680694,None,1,2,9,3,16.7142582,,16.6996689,16.7142582,17.6971956,17.6971956,17.7137143,18.180568,l,0.4680694,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
11,30,7,10,3,1,t,0.1896803,None,1,3,10,0,18.1968971,,18.1826426,18.1968971,19.1797633,19.1797633,19.196411,19.3799968,t,0.1896803,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
49,60,89,11,4,1,l,0.4021217,None,1,4,11,4,19.3964037,,19.3830734,19.3964037,20.3792539,20.3792539,20.3959225,20.7961319,l,0.4021217,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
15,35,13,12,5,1,l,0.2260351,None,1,5,12,1,20.8124746,,20.7980268,20.8124746,21.7953016,21.7953016,21.8119861,22.0288711,l,0.2260351,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
78,80,162,13,6,1,l,0.5452984,None,1,6,13,6,22.0450713,,22.0310779,22.0450713,23.0280541,23.0280541,23.0447088,23.5781347,l,0.5452984,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
15,35,13,14,0,2,l,0.523991,None,2,0,14,1,23.59452,,23.5801232,23.59452,24.5773811,24.5773811,24.5940266,25.1107152,l,0.523991,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
40,55,62,15,1,2,l,0.487317,None,2,1,15,3,25.127159,,25.1131788,25.127159,26.1100681,26.1100681,26.1266882,26.6100486,l,0.487317,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
78,80,162,16,2,2,l,0.5639901,None,2,2,16,6,26.6265235,,26.6119586,26.6265235,27.6094587,27.6094587,27.6260849,28.1761715,l,0.5639901,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
49,60,89,17,3,2,l,0.5380397,None,2,3,17,4,28.1925291,,28.1780466,28.1925291,29.1753609,29.1753609,29.1920176,29.7254461,l,0.5380397,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
11,30,7,18,4,2,t,0.3171916,None,2,4,18,0,29.7417999,,29.7276851,29.7417999,30.7247556,30.7247556,30.7414541,31.0581161,t,0.3171916,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
67,75,119,19,5,2,l,0.2118692,None,2,5,19,5,31.0745524,,31.0601303,31.0745524,32.0575137,32.0575137,32.0742075,32.2743355,l,0.2118692,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
27,50,21,20,6,2,l,0.1998846,None,2,6,20,2,32.2906733,,32.2764457,32.2906733,33.2736226,33.2736226,33.2903638,33.4904104,l,0.1998846,None,P07,1,2025-11-05_14h07.59.794,delay discounting task,,2025.1.1,60.07355406,2025-11-05 14h08.29.474168 +0530
