delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.4,1000,exp,10,10,0,space,0.3961646,None,100,1,[2.5017021000385284],[2.5017087999731302],0,10,10,4,84.2761879,,84.2603767,84.2761879,85.2754427,85.2754427,85.2754427,85.6754517,space,0.3961646,None,85.6758505,86.07582527,86.3900208,86.378715,86.3789852,86.3900208,86.3900208,86.3900208,88.8919316,100,1,[2.5017021000385284],[2.5017087999731302],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,11,11,0,space,0.2640001,None,175,1,[4.967553900089115],[4.967559500131756],0,11,11,6,88.907726,,88.8920945,88.907726,89.9072534,89.9072534,89.9072534,90.1744743,space,0.2640001,None,90.1748929,90.29045507,90.6048153,90.5891232,90.5893826,90.6048153,90.6048153,90.6048153,95.5725805,175,1,[4.967553900089115],[4.967559500131756],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,1000,exp,12,0,1,space,1.6517604,None,150,1,[2.1181403000373393],[2.1181463999673724],1,0,12,4,95.5882258,,95.5727437,95.5882258,96.5874735,96.5874735,96.6037645,98.2543119,space,1.6517604,None,98.2547104,98.67007137,98.9846586,98.9662419,98.9666262,98.9846586,98.9846586,98.9846586,101.1030424,150,1,[2.1181403000373393],[2.1181463999673724],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,1000,exp,13,1,1,space,0.3012114,None,320,1,[2.0180891999043524],[2.0180988998617977],1,1,13,10,101.1186738,,101.1032353,101.1186738,102.117997,102.117997,102.117997,102.4348865,space,0.3012114,None,102.4353167,102.8351023,103.1494851,103.1281269,103.1283887,103.1494851,103.1494851,103.1494851,105.1678652,320,1,[2.0180891999043524],[2.0180988998617977],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,14,2,1,space,0.0603666,None,200,1,[2.5184359000995755],[2.5184433001559228],1,2,14,11,105.1838566,,105.1681137,105.1838566,106.1828629,106.1828629,106.1828629,106.2497578,space,0.0603666,None,106.2503478,106.9497452,107.2642125,107.2454754,107.2458301,107.2642125,107.2642125,107.2642125,109.7828932,200,1,[2.5184359000995755],[2.5184433001559228],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,15,3,1,space,1.9431824,None,400,1,[2.1175726999063045],[2.1175806000828743],1,3,15,5,109.7981243,,109.783087,109.7981243,110.797561,110.797561,110.797561,112.747966,space,1.9431824,None,112.748909,113.4471723,113.7613399,113.749806,113.7503068,113.7613399,113.7613399,113.7613399,115.8792389,400,1,[2.1175726999063045],[2.1175806000828743],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,16,4,1,space,0.529245,None,350,1,[2.235537900123745],[2.235544300172478],1,4,16,9,115.8966084,,115.879527,115.8966084,116.878494,116.878494,116.911741,117.4123823,space,0.529245,None,117.4128891,117.5115602,117.8263533,117.8093952,117.8097495,117.8263533,117.8263533,117.8263533,120.0621292,350,1,[2.235537900123745],[2.235544300172478],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,400,unexp,17,5,1,space,0.3955851,None,650,1,[6.765793399885297],[6.765798300039023],1,5,17,1,120.0776724,,120.0622974,120.0776724,121.0767056,121.0767056,121.0935245,121.476468,space,0.3955851,None,121.476897,121.8759375,122.1913546,122.1784206,122.1792687,122.1913546,122.1913546,122.1913546,128.9573954,650,1,[6.765793399885297],[6.765798300039023],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,1000,exp,18,6,1,space,0.2345225,None,100,1,[3.76711819996126],[3.767124200006947],1,6,18,7,128.973829,,128.9575621,128.973829,129.9729194,129.9729194,129.9729194,130.2232497,space,0.2345225,None,130.223638,130.6231292,130.938153,130.9167973,130.917234,130.938153,130.938153,130.938153,134.7055367,100,1,[3.76711819996126],[3.767124200006947],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,400,unexp,19,7,1,space,0.355183,None,700,1,[4.733506799908355],[4.733513999963179],1,7,19,2,134.7206098,,134.7056992,134.7206098,135.7202291,135.7202291,135.7202291,136.0871617,space,0.355183,None,136.0876698,136.7866724,137.1013826,137.0879312,137.0882713,137.1013826,137.1013826,137.1013826,141.8351204,700,1,[4.733506799908355],[4.733513999963179],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
