reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
67,75,119,0,0,0,l,1.0242655,None,0,0,0,5,0.2062539,,0.0748564,0.2062539,1.0093327,1.0093327,1.2093498,2.0469899,l,1.0242655,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
78,80,162,1,1,0,t,0.3111182,None,0,1,1,6,2.0588896,,2.0510059,2.0588896,3.0585154,3.0585154,3.0585154,3.3752567,t,0.3111182,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
27,50,21,2,2,0,l,0.1790889,None,0,2,2,2,3.3916736,,3.3772942,3.3916736,4.3745148,4.3745148,4.3911669,4.5580237,l,0.1790889,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
15,35,13,3,3,0,t,0.2121197,None,0,3,3,1,4.5744288,,4.5608905,4.5744288,5.5574175,5.5574175,5.5740466,5.7741544,t,0.2121197,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
49,60,89,4,4,0,l,0.2078661,None,0,4,4,4,5.7905425,,5.7767977,5.7905425,6.7735486,6.7735486,6.7902394,6.9903212,l,0.2078661,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
40,55,62,5,5,0,t,0.2001468,None,0,5,5,3,7.0067622,,6.9923685,7.0067622,7.9897531,7.9897531,8.0063716,8.2065567,t,0.2001468,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
11,30,7,6,6,0,l,0.2278484,None,0,6,6,0,8.2228875,,8.2094821,8.2228875,9.2057444,9.2057444,9.2223979,9.4391504,l,0.2278484,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
67,75,119,7,0,1,t,0.2430283,None,1,0,7,5,9.4556931,,9.4410494,9.4556931,10.438576,10.438576,10.4552678,10.6886391,t,0.2430283,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
49,60,89,8,1,1,l,0.3255682,None,1,1,8,4,10.7051549,,10.6909131,10.7051549,11.6880854,11.6880854,11.7046812,12.0213995,l,0.3255682,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
27,50,21,9,2,1,t,0.2331579,None,1,2,9,2,12.0378063,,12.0242702,12.0378063,13.0207865,13.0207865,13.0375162,13.2542631,t,0.2331579,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
78,80,162,10,3,1,l,0.2480354,None,1,3,10,6,13.2706859,,13.2560973,13.2706859,14.2535941,14.2535941,14.2702453,14.5037746,l,0.2480354,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
11,30,7,11,4,1,t,0.0829384,None,1,4,11,0,14.5201331,,14.505662,14.5201331,15.503055,15.503055,15.5196846,15.6031763,t,0.0829384,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
40,55,62,12,5,1,t,0.1030883,None,1,5,12,3,15.6196397,,15.6051666,15.6196397,16.6024858,16.6024858,16.6192055,16.7194506,t,0.1030883,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
15,35,13,13,6,1,l,0.6749844,None,1,6,13,1,16.7357823,,16.7216816,16.7357823,17.7186593,17.7186593,17.7353189,18.4018569,l,0.6749844,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
78,80,162,14,0,2,t,0.9483677,None,2,0,14,6,18.4183316,,18.404104,18.4183316,19.4013212,19.4013212,19.4178551,20.3511529,t,0.9483677,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
40,55,62,15,1,2,l,0.5751185,None,2,1,15,3,20.3675904,,20.3529998,20.3675904,21.3504674,21.3504674,21.3671016,21.9336878,l,0.5751185,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
15,35,13,16,2,2,l,0.3404689,None,2,2,16,1,21.9502288,,21.935745,21.9502288,22.9331322,22.9331322,22.9497237,23.2830914,l,0.3404689,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
67,75,119,17,3,2,l,1.0551249,None,2,3,17,5,23.2995531,,23.2849402,23.2995531,24.2825295,24.2825295,24.299113,25.3492197,l,1.0551249,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
11,30,7,18,4,2,l,0.7246258,None,2,4,18,0,25.3654077,,25.3522829,25.3654077,26.364844,26.364844,26.364844,27.0984495,l,0.7246258,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
27,50,21,19,5,2,l,1.4035109,None,2,5,19,2,27.1145884,,27.1014315,27.1145884,28.1141429,28.1141429,28.1141429,29.5304764,l,1.4035109,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
49,60,89,20,6,2,l,1.0918037,None,2,6,20,4,29.5468576,,29.5325846,29.5468576,30.5298087,30.5298087,30.5464976,31.6293874,l,1.0918037,None,P08,1,2025-11-05_14h09.36.868,delay discounting task,,2025.1.1,61.20074643,2025-11-05 14h09.49.814761 +0530
