delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.1,1000,exp,0,0,0,space,0.956531,None,100,1,[2.8186306999996305],[2.8186361000407487],0,0,0,9,0.2545645,,0.2427171,0.2545645,1.0061614,1.0061614,1.2564543,1.9910161,space,0.956531,None,1.9914718,2.106553267,2.4367928,2.4086869,2.4091881,2.4367928,2.4367928,2.4367928,5.255709,100,1,[2.8186306999996305],[2.8186361000407487],P02,1,2025-11-12_13h59.43.455,intentional binding task,,2025.1.1,59.74493692,2025-11-12 14h01.14.975269 +0530
0.1,1000,exp,1,1,0,space,2.0832901,None,200,1,[4.051656799856573],[4.051663399906829],0,1,1,3,5.2710131,,5.2559184,5.2710131,6.271037,6.271037,6.271037,8.3699644,space,2.0832901,None,8.3704137,8.469468467,8.7849103,8.7703425,8.7706017,8.7849103,8.7849103,8.7849103,12.8367772,200,1,[4.051656799856573],[4.051663399906829],P02,1,2025-11-12_13h59.43.455,intentional binding task,,2025.1.1,59.74493692,2025-11-12 14h01.14.975269 +0530
0.7,1000,exp,2,2,0,space,0.354132,None,100,1,[2.502297200029716],[2.5023038999643177],0,2,2,8,12.8514919,,12.8369453,12.8514919,13.8522331,13.8522331,13.8522331,14.2170061,space,0.354132,None,14.2173927,14.91663257,15.2312402,15.2191012,15.2194051,15.2312402,15.2312402,15.2312402,17.733754,100,1,[2.502297200029716],[2.5023038999643177],P02,1,2025-11-12_13h59.43.455,intentional binding task,,2025.1.1,59.74493692,2025-11-12 14h01.14.975269 +0530
0.7,1000,exp,3,3,0,space,1.1224675,None,200,1,[2.2014771001413465],[2.201484100194648],0,3,3,5,17.7504055,,17.7339222,17.7504055,18.7324706,18.7324706,18.7652093,19.8658274,space,1.1224675,None,19.8662073,20.56533867,20.8791888,20.8600832,20.8603336,20.8791888,20.8791888,20.8791888,23.0808889,200,1,[2.2014771001413465],[2.201484100194648],P02,1,2025-11-12_13h59.43.455,intentional binding task,,2025.1.1,59.74493692,2025-11-12 14h01.14.975269 +0530
0.1,400,unexp,4,4,0,space,1.0821723,None,400,1,[2.565454199910164],[2.5654608998447657],0,4,4,0,23.0964918,,23.0810649,23.0964918,24.0962376,24.0962376,24.0962376,25.1802438,space,1.0821723,None,25.1806516,25.27949967,25.5964557,25.5792589,25.5795035,25.5964557,25.5964557,25.5964557,28.1621207,400,1,[2.565454199910164],[2.5654608998447657],P02,1,2025-11-12_13h59.43.455,intentional binding task,,2025.1.1,59.74493692,2025-11-12 14h01.14.975269 +0530
0.7,400,unexp,5,5,0,space,0.5927636,None,700,1,[1.1864992999471724],[1.1865067000035197],0,5,5,2,28.177996,,28.1622949,28.177996,29.1778324,29.1778324,29.1778324,29.77812,space,0.5927636,None,29.7788576,30.49307397,30.8085034,30.7966947,30.7970004,30.8085034,30.8085034,30.8085034,31.9952188,700,1,[1.1864992999471724],[1.1865067000035197],P02,1,2025-11-12_13h59.43.455,intentional binding task,,2025.1.1,59.74493692,2025-11-12 14h01.14.975269 +0530
0.7,1000,exp,6,6,0,space,0.5252277,None,100,1,[2.815911900019273],[2.8159229001030326],0,6,6,11,32.0106624,,31.9953937,32.0106624,33.0100401,33.0100401,33.0268935,33.5416388,space,0.5252277,None,33.5420334,34.24275597,34.5583094,34.5447688,34.5452697,34.5583094,34.5583094,34.5583094,37.3745491,100,1,[2.815911900019273],[2.8159229001030326],P02,1,2025-11-12_13h59.43.455,intentional binding task,,2025.1.1,59.74493692,2025-11-12 14h01.14.975269 +0530
0.4,1000,exp,7,7,0,space,0.7921832,None,200,1,[0.4356180999893695],[0.43562430003657937],0,7,7,10,37.3913421,,37.3747946,37.3913421,38.3905251,38.3905251,38.3905251,39.1907627,space,0.7921832,None,39.191143,39.60647297,39.9210638,39.9093867,39.909647,39.9210638,39.9210638,39.9210638,40.3568948,,1,[0.4356180999893695],[0.43562430003657937],P02,1,2025-11-12_13h59.43.455,intentional binding task,,2025.1.1,59.74493692,2025-11-12 14h01.14.975269 +0530
0.4,1000,exp,8,8,0,space,0.8035009,None,200,1,[1.4184473999775946],[1.4184535001404583],0,8,8,7,40.3729905,,40.357062,40.3729905,41.371438,41.371438,41.371438,42.1877673,space,0.8035009,None,42.18818,42.58742457,42.9026019,42.8874922,42.887764,42.9026019,42.9026019,42.9026019,44.3212653,200,1,[1.4184473999775946],[1.4184535001404583],P02,1,2025-11-12_13h59.43.455,intentional binding task,,2025.1.1,59.74493692,2025-11-12 14h01.14.975269 +0530
0.4,400,unexp,9,9,0,space,0.4105437,None,400,1,[4.431683599948883],[4.431690199999139],0,9,9,1,44.3382948,,44.32143,44.3382948,45.321302,45.321302,45.3377164,45.7392087,space,0.4105437,None,45.739595,46.15431777,46.4697769,46.4530059,46.4532403,46.4697769,46.4697769,46.4697769,50.901675,400,1,[4.431683599948883],[4.431690199999139],P02,1,2025-11-12_13h59.43.455,intentional binding task,,2025.1.1,59.74493692,2025-11-12 14h01.14.975269 +0530
